topics significance commonGenes percentOfTopics percentOfReference
47 152.83518133325 83 88.2978723404255 86.4583333333333
168 125.004265989879 74 79.5698924731183 77.0833333333333
73 105.93675576688 60 92.3076923076923 62.5
3 87.6844685918452 48 100 50
114 66.8533545373735 50 56.8181818181818 52.0833333333333
147 56.8135434387898 39 72.2222222222222 40.625
133 53.7592346555203 35 81.3953488372093 36.4583333333333
174 51.3894776695562 36 70.5882352941177 37.5
14 32.5148615433156 41 21.6931216931217 42.7083333333333
63 0.479207035221514 1 0.206185567010309 1.04166666666667
