topics significance commonGenes percentOfTopics percentOfReference
63 78.4542381974004 121 24.9484536082474 62.6943005181347
65 63.2907764666138 71 47.3333333333333 36.7875647668394
66 62.1897802494803 90 30.4054054054054 46.6321243523316
7 57.749678593078 88 28.4789644012945 45.5958549222798
30 52.3759685675117 55 55 28.4974093264249
103 48.3638567745662 59 43.0656934306569 30.5699481865285
79 45.2323844964754 70 29.535864978903 36.2694300518135
49 40.7441768107668 62 31 32.1243523316062
41 36.6867998719454 47 41.5929203539823 24.3523316062176
57 33.6221429499741 44 40.7407407407407 22.7979274611399
