topics significance commonGenes percentOfTopics percentOfReference
79 14.2925019683415 18 7.59493670886076 58.0645161290323
135 12.9898608074038 24 3.40425531914894 77.4193548387097
24 12.93241145702 24 3.38504936530324 77.4193548387097
63 12.5390468456515 21 4.32989690721649 67.741935483871
56 11.8347201391929 14 9.85915492957746 45.1612903225806
142 10.3452526821237 12 11.1111111111111 38.7096774193548
159 9.69654110758987 13 8.17610062893082 41.9354838709677
85 9.58540147792374 10 15.1515151515152 32.258064516129
76 9.57619883747536 27 1.93548387096774 87.0967741935484
152 9.40358454202884 12 9.30232558139535 38.7096774193548
