topics significance commonGenes percentOfTopics percentOfReference
29 48.9081251413776 42 14.2372881355932 95.4545454545455
21 44.887163319825 39 15.5378486055777 88.6363636363636
125 43.599866986921 40 13.1578947368421 90.9090909090909
56 39.5499643568654 32 22.5352112676056 72.7272727272727
136 34.1160059082771 41 7.16783216783217 93.1818181818182
39 33.6159061490534 42 6.39269406392694 95.4545454545455
108 33.3158201005785 43 5.74098798397864 97.7272727272727
26 31.7464666995613 36 9.47368421052632 81.8181818181818
115 30.367181397102 42 5.37084398976982 95.4545454545455
64 29.8756041544631 44 4.34782608695652 100
