topics significance commonGenes percentOfTopics percentOfReference
64 300 515 50.8893280632411 90.034965034965
108 300 465 62.0827770360481 81.2937062937063
115 300 478 61.1253196930946 83.5664335664336
2 296.623341319568 444 55.5 77.6223776223776
94 276.705558722703 341 75.9465478841871 59.6153846153846
39 247.809841420419 381 57.9908675799087 66.6083916083916
125 231.57575348602 263 86.5131578947368 45.979020979021
29 223.265645881105 255 86.4406779661017 44.5804195804196
26 212.823075437733 281 73.9473684210526 49.1258741258741
146 198.202685564051 458 35.4489164086687 80.0699300699301
