topics significance commonGenes percentOfTopics percentOfReference
7 34.1569902336648 51 16.504854368932 50
66 32.5602694022328 49 16.5540540540541 48.0392156862745
65 31.30499739451 38 25.3333333333333 37.2549019607843
63 30.8273849832142 57 11.7525773195876 55.8823529411765
71 25.8259650687907 32 25.6 31.3725490196078
79 25.7473676686957 40 16.8776371308017 39.2156862745098
41 24.5025179670859 30 26.5486725663717 29.4117647058824
142 23.7280007672041 29 26.8518518518519 28.4313725490196
140 23.057407235461 35 18.1347150259067 34.3137254901961
18 21.7530984964969 19 0.526170036001108 18.6274509803922
