topics significance commonGenes percentOfTopics percentOfReference
76 300 649 46.5232974910394 92.0567375886525
112 300 667 59.6067917783735 94.6099290780142
42 256.735148975908 666 33.0849478390462 94.468085106383
75 223.712840811414 368 67.1532846715328 52.1985815602837
95 223.416649233905 432 55.5984555984556 61.2765957446808
12 207.47811401548 676 27.6708964388047 95.886524822695
99 156.954446395239 238 77.2727272727273 33.7588652482269
98 149.540554471954 288 61.2765957446808 40.8510638297872
64 147.502712562265 418 41.304347826087 59.290780141844
108 144.868768483961 358 47.7970627503338 50.7801418439716
