topics significance commonGenes percentOfTopics percentOfReference
146 300 1063 82.2755417956656 62.3826291079812
64 247.78950357696 787 77.7667984189723 46.1854460093897
39 238.513699142912 588 89.4977168949772 34.5070422535211
108 200.412656923896 610 81.4419225634179 35.7981220657277
115 190.007545543867 618 79.0281329923274 36.2676056338028
2 186.52915310815 624 78 36.6197183098592
136 136.645901810002 457 79.8951048951049 26.8192488262911
125 114.987668987516 282 92.7631578947368 16.5492957746479
94 109.369844560855 364 81.0690423162584 21.3615023474178
26 98.297947332089 315 82.8947368421053 18.4859154929577
