topics significance commonGenes percentOfTopics percentOfReference
42 300 995 49.4287133631396 88.9186773905273
76 300 902 64.6594982078853 80.6076854334227
135 300 667 94.6099290780142 59.6067917783735
95 265.667042083815 570 73.3590733590734 50.9383378016086
12 261.010458718783 1004 41.0970118706508 89.7229669347632
75 245.295661883872 456 83.2116788321168 40.7506702412869
0 209.628196341919 1081 33.2922697874961 96.6041108132261
64 164.335101739891 560 55.3359683794466 50.0446827524575
98 158.343653431961 356 75.7446808510638 31.8141197497766
99 150.708226872194 272 88.3116883116883 24.307417336908
