topics significance commonGenes percentOfTopics percentOfReference
79 162.251755966698 189 79.746835443038 38.9690721649485
9 156.8454100439 170 86.734693877551 35.0515463917526
35 152.797033960943 170 84.5771144278607 35.0515463917526
66 146.575954697829 199 67.2297297297297 41.0309278350515
8 108.335229389351 111 94.0677966101695 22.8865979381443
24 106.695029167084 255 35.966149506347 52.5773195876289
11 98.3483980376846 110 87.3015873015873 22.680412371134
134 92.7984994849459 177 48.0978260869565 36.4948453608247
155 88.7335343133274 97 89.8148148148148 20
142 80.9534576880199 93 86.1111111111111 19.1752577319588
