topics significance commonGenes percentOfTopics percentOfReference
159 170.891778920659 112 70.440251572327 86.8217054263566
55 141.04070578806 112 46.6666666666667 86.8217054263566
99 132.305533609955 115 37.3376623376623 89.1472868217054
124 127.352791796008 113 36.4516129032258 87.5968992248062
46 126.589581703126 101 50.2487562189055 78.2945736434108
119 120.410715305866 99 47.8260869565217 76.7441860465116
98 120.295156737579 121 25.7446808510638 93.7984496124031
156 117.633561869946 107 36.518771331058 82.9457364341085
122 111.585538011968 70 90.9090909090909 54.2635658914729
75 106.838099462455 119 21.7153284671533 92.2480620155039
