topics significance commonGenes percentOfTopics percentOfReference
0 300 1904 58.6387434554974 94.5851962245405
12 300 1654 67.7036430618092 82.1659215101838
76 300 1196 85.7347670250896 59.4138102334824
112 300 995 88.9186773905273 49.4287133631396
135 256.735148975911 666 94.468085106383 33.0849478390462
95 231.92372886138 696 89.5752895752896 34.575260804769
75 159.06642808916 494 90.1459854014599 24.5404868355688
4 123.544907526281 1040 61.0328638497653 51.6641828117238
146 105.110996358705 826 63.9318885448916 41.0332836562345
64 102.938644776594 689 68.0830039525692 34.227521112767
