topics significance commonGenes percentOfTopics percentOfReference
57 63.9565231482192 40 37.037037037037 90.9090909090909
71 50.6486961064255 36 28.8 81.8181818181818
79 48.2526158347696 40 16.8776371308017 90.9090909090909
63 37.1486681169369 41 8.45360824742268 93.1818181818182
48 36.804016081268 23 53.4883720930233 52.2727272727273
142 35.3120213617026 28 25.9259259259259 63.6363636363636
7 33.2439976012954 35 11.3268608414239 79.5454545454545
65 32.7575398467207 29 19.3333333333333 65.9090909090909
103 28.3391275134529 26 18.978102189781 59.0909090909091
41 26.9598037045327 24 21.2389380530973 54.5454545454545
