topics significance commonGenes percentOfTopics percentOfReference
7 111.962684404868 105 33.9805825242718 82.6771653543307
65 56.8036130563429 58 38.6666666666667 45.6692913385827
79 55.0462163943189 66 27.8481012658228 51.9685039370079
71 48.7912914229179 50 40 39.3700787401575
66 40.0974648599102 60 20.2702702702703 47.244094488189
63 35.7026056774233 68 14.020618556701 53.5433070866142
49 31.7805005596862 46 23 36.2204724409449
30 30.2314466374461 35 35 27.5590551181102
140 28.7424619603214 43 22.279792746114 33.8582677165354
82 27.4166452490688 31 37.3493975903614 24.4094488188976
