topics significance commonGenes percentOfTopics percentOfReference
63 20.1329347485325 66 13.6082474226804 34.020618556701
14 17.8310164263035 40 21.1640211640212 20.6185567010309
66 17.5968106117732 49 16.5540540540541 25.2577319587629
32 16.5239761075714 33 24.812030075188 17.0103092783505
1 15.4116126417687 80 9.56937799043062 41.2371134020619
79 13.2882991203522 39 16.4556962025316 20.1030927835052
140 13.0196421200311 35 18.1347150259067 18.0412371134021
110 12.5629547001411 12 80 6.18556701030928
57 12.1931420949232 26 24.0740740740741 13.4020618556701
85 12.1301700767123 21 31.8181818181818 10.8247422680412
