topics significance commonGenes percentOfTopics percentOfReference
35 144.759318164579 105 52.2388059701493 88.9830508474576
9 141.178447879662 103 52.5510204081633 87.2881355932203
63 108.335229389351 111 22.8865979381443 94.0677966101695
11 78.349165637783 65 51.5873015873016 55.0847457627119
134 56.742613815056 75 20.3804347826087 63.5593220338983
24 31.7094552232542 72 10.1551480959097 61.0169491525424
32 16.5293763317331 27 20.3007518796992 22.8813559322034
1 16.444839149036 60 7.17703349282297 50.8474576271186
67 12.7477385773608 14 43.75 11.864406779661
14 12.4389666752804 27 14.2857142857143 22.8813559322034
