topics significance commonGenes percentOfTopics percentOfReference
132 6.56742802186398 4 11.4285714285714 100
150 5.34966215976825 4 5.79710144927536 100
154 5.17820946593067 4 5.26315789473684 100
162 4.93892298581714 4 4.59770114942529 100
105 4.57378427057958 3 15.7894736842105 75
152 4.24466495543405 4 3.10077519379845 100
137 4.13894085906775 4 2.91970802919708 100
159 3.87756043941434 4 2.51572327044025 100
117 3.54708890037735 4 2.08333333333333 100
46 3.46689458169912 4 1.99004975124378 100
