topics significance commonGenes percentOfTopics percentOfReference
58 213.477173857332 157 87.7094972067039 67.381974248927
15 200.155718114495 145 91.1949685534591 62.2317596566524
99 136.621640732293 149 48.3766233766234 63.9484978540773
156 125.354622223504 140 47.7815699658703 60.0858369098712
46 123.655349892417 122 60.6965174129353 52.3605150214592
98 119.246780885923 160 34.0425531914894 68.6695278969957
55 113.686477693782 124 51.6666666666667 53.2188841201717
124 111.242161609277 134 43.2258064516129 57.5107296137339
159 106.075035846265 103 64.7798742138365 44.206008583691
9 105.88311221493 111 56.6326530612245 47.6394849785408
