topics significance commonGenes percentOfTopics percentOfReference
150 3.44190889250644 3 4.34782608695652 100
154 3.31423512324737 3 3.94736842105263 100
20 2.66965507137463 3 2.41935483870968 100
152 2.61773829774843 3 2.32558139534884 100
137 2.53874845462989 3 2.18978102189781 100
159 2.34338783496684 3 1.88679245283019 100
105 2.2017388176149 2 10.5263157894737 66.6666666666667
37 2.11262435639148 2 9.52380952380952 66.6666666666667
117 2.09625350174721 3 1.5625 100
46 2.03626256915716 3 1.49253731343284 100
