topics proteins scores signal totalSignal fraction
10 Orc5 13.1526049069521 10428 10748 0.970227018980275
10 Orc1 13.1531612373091 4612 4618 0.998700736249459
11 Hmo1 13.153156170054 55574 55776 0.996378370625359
11 God1 1.64451929457499 486 6028 0.0806237558062376
12 Rad3 11.9071403432144 302729 444645 0.680833024097876
12 Tfb4 4.9318613435568 129471 516833 0.250508384720016
12 Tfa2 5.32702867040509 128445 459703 0.279408661679389
12 Ssl1 7.57528991099332 121211 320050 0.378725199187627
12 Ssl2 4.43500093467879 100941 442280 0.228228723885322
12 Tfb2 5.96505051143218 73473 261608 0.28085150301214
12 Kin28 2.69403645862874 28220 209785 0.134518673880401
13 Ash1 13.096725389615 1508 1750 0.861714285714286
13 Wtm2 12.8508718752445 1505 2112 0.712594696969697
13 Apc5 13.0540825524103 1366 1631 0.83752299202943
13 Spt23 13.105590761674 1177 1332 0.883633633633634
13 Rrd1 12.9914793031522 947 1270 0.745669291338583
13 Kae1 13.1531545153862 848 849 0.998822143698469
13 Nsp1 12.0053164397207 551 876 0.628995433789954
14 Sgf29 13.0010953894863 21111 26828 0.786901744446101
14 Gdh1 12.6398489465966 5271 8068 0.653321764997521
14 Yox1 6.83532424626379 3452 10962 0.31490603904397
14 Set5 4.70869925434914 968 6232 0.155327342747112
14 Snf2 1.55966387702295 535 11970 0.0446950710108605
15 Prp46 13.1531446587735 31807 31942 0.995773589631207
15 Prp45 13.1523439173937 30095 30936 0.97281484354797
15 Prp4 3.63909972331634 5588 24775 0.225549949545913
16 Smc3 13.1531519782788 21087 21121 0.998390227735429
16 Kar4 13.1531622475739 12244 12257 0.998939381577874
16 Ste12 12.5727051058917 5710 9879 0.57799372406114
16 Dig1 13.0278241368209 4882 7170 0.680892608089261
17 Hsf1 13.152946914319 56086 56420 0.994080113434952
17 Spt3 3.97552739213236 1717 15833 0.108444388302912
17 Vid21 9.68818942093038 920 2694 0.341499628804751
18 Htz1 13.1531636289282 178369 178388 0.999893490593538
19 Mif2 10.2799789518719 167262 300203 0.557162986379217
19 Nkp2 5.18164927514078 53334 176278 0.302556189654977
19 Smc4 2.65415061577399 428 3680 0.116304347826087
20 Set2 13.1518187415936 12911 13294 0.971190010531067
20 War1 13.1419525704418 10269 11654 0.881156684400206
21 Nrd1 13.1531619590481 109979 110173 0.998239132999918
22 Cin5 13.1530988110619 92827 93505 0.992749050852896
22 Sko1 13.1507329335161 20332 21374 0.951249181248246
23 Hot1 13.1531345279139 40298 40425 0.996858379715523
23 Ckb2 11.7255277119015 3891 8941 0.435186220780673
23 Cka2 5.27437529672681 2403 10355 0.232061805890874
23 Cka1 2.04284084253565 1167 12370 0.094341147938561
23 Ckb1 13.1531636607211 1160 1160 1
24 Bur6 13.1097361670424 42505 48150 0.88276220145379
24 Ydr1 13.1528832777746 24456 25006 0.978005278733104
24 Ncb2 13.0739848108447 21752 26460 0.822071050642479
24 Mot1 13.1228944051 17414 21053 0.827150524865815
25 YLL032C 13.1497208050675 745 764 0.975130890052356
26 Spt2 13.1531635178827 174273 174405 0.999243140964995
27 Rfx1 13.1529130121594 20841 21084 0.988474672737621
27 Bas1 13.1506938531956 7482 7941 0.942198715527012
28 Mac1 13.1530620492973 10040 10141 0.990040429937876
29 Rpo21 13.1530521798626 38036 38500 0.987948051948052
29 Sen1 13.1524685887653 34924 36156 0.96592543422945
30 Swi4 13.146821847988 12832 13646 0.940348820167082
30 Stb1 13.1531635528844 11012 11014 0.999818412928999
30 Swi6 13.1437961839993 5576 6049 0.921805257067284
30 Nrm1 3.97199294426994 2082 12849 0.162035956105534
30 Mbp1 8.05582562251091 2029 5642 0.359624246721021
30 Snf6 1.05033827425787 1439 31831 0.0452075021205743
30 Snf11 2.85750926152283 718 7411 0.0968830117393064
30 Whi5 12.3008832105074 712 993 0.717019133937563
30 Rxt1 1.4547520095344 561 6049 0.0927426020829889
30 Spt3 1.00340019710926 501 15833 0.0316427714267669
30 Srb8 1.66534799152587 441 6610 0.0667170953101362
31 Ino2 13.1524723932808 5239 5357 0.977972745939892
31 Ino4 13.1526699545441 3369 3406 0.989136817381092
32 Dat1 13.151292864723 21904 22912 0.956005586592179
32 Aro80 13.1531636607211 1966 1966 1
33 Stb5 13.141330344161 12163 13477 0.902500556503673
33 Oaf3 13.1531623378101 5855 5860 0.999146757679181
34 Leu3 13.1479213861051 4077 4305 0.947038327526132
35 Ifh1 13.153082709535 46558 47054 0.989458919539253
35 Esa1 8.68412777626084 3537 14608 0.242127601314348
35 Yng2 11.1173544664234 3209 8793 0.364949391561469
35 Stb3 10.0176098252105 2637 6581 0.400698981917642
