topic summitPvalue summitPosition meanPvalue meanPosition
5 126.812941443464 10 28.5915816844097 4
0 11.1098486491609 110 2.37077445458855 108
12 7.08093361396353 90 1.27444813229689 92
42 3.11818285233454 130 0.643587296879775 131
112 2.76474537328628 100 0.591733434173891 106
116 2.69117075911212 100 0.666559959750305 78
95 2.02557784692579 100 0.368294265100532 111
1 1.51032210325167 10 0.438289373418827 0
76 1.08736418799452 90 0.28644896647724 96
32 1.01787685832071 10 0.0496525296741809 15
