topic summitPvalue summitPosition meanPvalue meanPosition
16 8.92907407061661 0 2.18817395229581 -13
61 1.16180086471512 -40 0.651741948498724 -67
18 0.280411396696126 40 0.232536280187031 0
10 0.272298431043117 50 0.112904227505683 106
19 0.219535864231744 170 0.0214181330957799 185
146 0.160688567878274 30 0.0705462005319251 115
64 0.157395669177462 180 0.0115167562812777 190
4 0.145788331732711 0 0.145788331732711 0
109 0.111078732714683 200 0.00270923738328496 200
116 0.0772003577073922 110 0.0419610899515989 3
