topic summitPvalue summitPosition meanPvalue meanPosition
0 55.5955893291099 30 14.3547751019274 1
12 27.7646974533631 10 7.91376403509234 -14
95 21.9062090406191 0 7.11191930158873 -8
112 14.6038334801053 30 4.27940810908567 -2
116 11.0962321912994 10 3.72593431688162 -19
42 10.6316786616358 40 3.46203122422411 7
9 10.1498805804862 -200 2.10090387435835 -115
76 8.65711928526165 20 2.36242755195539 -6
11 2.70711435153474 -190 0.500459430558937 -108
35 2.56500097856777 -200 0.622612196577392 -80
