topic summitPvalue summitPosition meanPvalue meanPosition
69 7.34200948060632 0 0.989766109723065 0
0 6.91386055303247 -200 0.985696763380688 -69
12 4.46351275593845 -200 0.76235502546487 -62
116 3.23219442236484 -200 0.594565573293978 -63
112 2.76474537328628 -200 0.654625544088181 -41
42 1.89116393697434 -190 0.720349687898646 -58
76 1.08736418799452 -200 0.210958192817346 -63
135 0.913958173585694 70 0.35948889313787 3
7 0.907080310392527 200 0.112038616684641 102
108 0.878770551843736 50 0.40157748474338 67
