topic summitPvalue summitPosition meanPvalue meanPosition
0 29.5942093865024 30 5.4682913012406 4
42 15.7622951508003 0 1.67811825628913 2
12 7.08093361396353 -40 1.77268766709767 -2
112 4.97942441416239 -10 1.16835925861415 1
116 3.80875854763641 -40 1.07814486841048 -4
76 2.19213875154433 -20 0.568790582559218 -2
135 1.63604817635971 0 0.439671385265873 33
108 0.878770551843736 200 0.143533401324404 80
95 0.873393982486909 -30 0.353890035311564 0
98 0.729668694842308 200 0.0628638189591393 138
