topic summitPvalue summitPosition meanPvalue meanPosition
96 350 90 138.080806985019 -38
101 301.969966476426 0 55.4443932812906 -3
130 296.823189580853 -70 43.9703333463419 -68
44 290.909830954711 -120 40.2129420195889 -118
111 266.749733533582 170 85.8710406513876 30
70 170.682627852127 190 33.6014630563122 131
120 164.183558364504 -60 21.5238132415149 -62
59 150.474852558457 -120 25.0235863616168 -119
126 143.800741752896 120 25.5465767717959 118
118 130.332151457885 -170 19.9144074727548 -164
