topic summitPvalue summitPosition meanPvalue meanPosition
136 5.512612742356 0 1.0393900707052 2
64 2.84073322534375 0 0.929348639149683 4
0 2.82975450794198 -200 0.258769510737432 -140
75 2.50276747003226 180 0.948503464179974 71
12 2.30891712905261 -200 0.213346766486291 -118
108 2.03567707413637 0 1.04204141010288 30
115 1.6623479217983 0 0.583210805398732 3
112 1.55333069570522 -200 0.338897755586264 -49
98 1.34202484067793 0 0.809615825831148 46
156 1.19483448531896 160 0.504465091445734 42
