topic summitPvalue summitPosition meanPvalue meanPosition
6 17.3930611964268 0 2.34786984829224 0
140 0.768435450833435 0 0.131196296483757 10
10 0.748782586980213 0 0.252370438685 -42
122 0.688824439301397 10 0.0840029804026094 30
152 0.616439074434771 0 0.240561590023325 76
63 0.584051610738267 0 0.341883869700449 85
29 0.577568861787671 10 0.126783408685099 90
99 0.528882237086479 190 0.0257991335164136 195
39 0.516765800395711 40 0.0378121317362715 50
64 0.476241246557267 0 0.219609440373522 7
