topic summitPvalue summitPosition meanPvalue meanPosition
0 34.4053171629362 0 3.58471104261874 5
12 2.79723295603565 0 0.487919066339644 7
112 2.12819329571449 0 0.28511974760977 19
116 1.72770584986961 0 0.442333669491055 5
76 1.60422027268789 0 0.220615027425761 24
42 1.36550724360584 20 0.245423653270468 15
18 0.767313781358422 -60 0.288681191018135 -9
24 0.446580531228614 40 0.0217844161574934 45
136 0.349049970081702 190 0.0170268278088635 195
135 0.345627161126674 0 0.0590095153143102 10
