topic summitPvalue summitPosition meanPvalue meanPosition
18 2.99068409624582 0 0.672216528067735 -7
0 0.958398173361168 70 0.144203835622941 61
116 0.385090093277218 60 0.180092765926238 4
1 0.310191836864083 130 0.0605252364612844 165
10 0.272298431043117 -200 0.00664142514739309 -200
146 0.160688567878274 200 0.00391923336288473 200
4 0.145788331732711 50 0.110230202041806 2
12 0.145245913956894 80 0.0373856165020118 73
76 0.0956305412992268 60 0.0303218789485353 125
112 0.0902107889393387 200 0.00220026314486192 200
