topic summitPvalue summitPosition meanPvalue meanPosition
1 25.1209055232456 0 3.4764718293635 3
0 5.53893517482787 90 0.958239995974717 62
12 1.08396119024475 80 0.285908042788198 82
115 0.930592572387848 0 0.302969741014395 58
64 0.926271568544243 10 0.376966030715907 44
136 0.92155497788438 30 0.235312298290901 67
18 0.767313781358422 -130 0.230360898554015 -46
122 0.688824439301397 0 0.134404768644175 35
76 0.653328398758802 60 0.219580110475018 69
112 0.627393722328242 80 0.231140375640837 80
