topic summitPvalue summitPosition meanPvalue meanPosition
151 63.1246476475045 0 19.1778745110666 -5
13 22.0567897533183 -180 9.51926668852645 -36
126 14.0868380234499 160 2.47093245283848 138
10 10.3888788463802 -150 1.44567873787713 -147
38 3.37831833278042 30 0.51748817939419 42
106 3.04734835006239 50 1.07892554196984 99
22 1.89037405645003 -50 0.61116182488839 22
157 1.66174855229799 -80 0.162121809980291 -95
107 1.64817484480939 -40 0.321595091670124 -86
17 1.5390445029442 -20 0.778004258863923 -14
