topics significance commonGenes percentOfTopics percentOfReference
7 7.23215349309254 13 4.20711974110032 50
82 6.2781269666752 8 9.63855421686747 30.7692307692308
49 5.62119072516284 10 5 38.4615384615385
65 5.50630637570057 9 6 34.6153846153846
40 4.9249417861968 7 8.75 26.9230769230769
79 3.79036497634215 9 3.79746835443038 34.6153846153846
52 3.10734285758578 5 9.43396226415094 19.2307692307692
18 2.3766435425417 7 0.193852118526724 26.9230769230769
140 2.33376035232675 7 3.62694300518135 26.9230769230769
48 2.07641147347133 4 9.30232558139535 15.3846153846154
