topics significance commonGenes percentOfTopics percentOfReference
21 21.9172261141536 18 7.17131474103586 100
29 15.9097822684979 16 5.42372881355932 88.8888888888889
94 14.9384512472839 17 3.78619153674833 94.4444444444444
136 13.1323732929036 17 2.97202797202797 94.4444444444444
26 12.2611747845517 15 3.94736842105263 83.3333333333333
125 11.9117480901324 14 4.60526315789474 77.7777777777778
108 11.1324897163805 17 2.26969292389853 94.4444444444444
64 10.8130393887401 18 1.77865612648221 100
2 10.6455911129436 17 2.125 94.4444444444444
115 9.10530008508674 16 2.0460358056266 88.8888888888889
