topics significance commonGenes percentOfTopics percentOfReference
66 32.1440931566491 47 15.8783783783784 50
79 26.1603939737445 39 16.4556962025316 41.4893617021277
45 23.6782443385907 27 28.4210526315789 28.7234042553192
7 20.5400599712977 38 12.2977346278317 40.4255319148936
71 20.1590987333061 27 21.6 28.7234042553192
63 20.1082901071374 45 9.27835051546392 47.8723404255319
57 17.8957084366212 24 22.2222222222222 25.531914893617
65 16.7057944876725 26 17.3333333333333 27.6595744680851
142 16.581927596895 23 21.2962962962963 24.468085106383
33 15.8729261116776 22 21.5686274509804 23.4042553191489
