topics significance commonGenes percentOfTopics percentOfReference
117 122.341931355792 100 52.0833333333333 72.992700729927
99 87.3700140473998 95 30.8441558441558 69.3430656934307
119 79.4797607748077 80 38.6473429951691 58.3941605839416
75 74.2025472117275 104 18.978102189781 75.9124087591241
98 72.3551326384726 98 20.8510638297872 71.5328467153285
150 60.8252570936822 48 69.5652173913043 35.036496350365
20 51.8949538597704 53 42.741935483871 38.6861313868613
55 35.7386488323674 54 22.5 39.4160583941606
124 34.0765442448975 58 18.7096774193548 42.3357664233577
122 30.6051593239425 33 42.8571428571429 24.0875912408759
