topics significance commonGenes percentOfTopics percentOfReference
9 157.505445810491 112 57.1428571428571 88.8888888888889
35 153.085745907687 111 55.2238805970149 88.0952380952381
63 98.3483980376817 110 22.680412371134 87.3015873015873
8 78.349165637783 65 55.0847457627119 51.5873015873016
134 69.9277411738029 86 23.3695652173913 68.2539682539683
24 27.1384160832544 70 9.87306064880113 55.5555555555556
14 23.2700135164111 38 20.1058201058201 30.1587301587302
155 8.20626155688342 18 16.6666666666667 14.2857142857143
1 7.05396848579053 48 5.74162679425837 38.0952380952381
67 6.5654522735784 10 31.25 7.93650793650794
