topics significance commonGenes percentOfTopics percentOfReference
76 302.792572353949 1365 97.8494623655914 42.0388050508161
12 300 2206 90.2988129349161 67.9396365876193
42 300 1904 94.5851962245405 58.6387434554974
112 209.628196341919 1081 96.6041108132261 33.2922697874961
95 140.001825638281 753 96.9111969111969 23.1906375115491
135 133.933136727528 689 97.7304964539007 21.2195873113643
4 107.862708933179 1396 81.924882629108 42.9935324915306
81 101.727237511667 750 92.0245398773006 23.0982445334155
146 86.4996197521367 1079 83.5139318885449 33.2306744687404
75 82.141307747253 521 95.0729927007299 16.0455805358793
