topics significance commonGenes percentOfTopics percentOfReference
140 29.1197816964931 70 36.2694300518135 17.632241813602
66 17.9798687470516 72 24.3243243243243 18.1360201511335
5 16.4572575694261 54 28.8770053475936 13.6020151133501
63 15.7441170999753 92 18.9690721649485 23.1738035264484
41 15.1060781335678 40 35.3982300884956 10.0755667506297
103 14.1387134485294 43 31.3868613138686 10.831234256927
32 11.528299604495 39 29.3233082706767 9.82367758186398
57 10.8081434081616 34 31.4814814814815 8.56423173803526
79 10.3043581195846 52 21.9409282700422 13.0982367758186
49 9.64705551924149 46 23 11.5869017632242
