topics significance commonGenes percentOfTopics percentOfReference
117 122.341931355792 100 52.0833333333333 72.992700729927
99 87.3700140473998 95 30.8441558441558 69.3430656934307
119 79.4797607748077 80 38.6473429951691 58.3941605839416
75 74.2025472117275 104 18.978102189781 75.9124087591241
98 72.3551326384726 98 20.8510638297872 71.5328467153285
26 60.9721669965886 84 22.1052631578947 61.3138686131387
150 60.8252570936822 48 69.5652173913043 35.036496350365
39 57.3357411086208 98 14.9162861491629 71.5328467153285
135 55.5556303383009 99 14.0425531914894 72.2627737226277
108 55.4654764973913 101 13.4846461949266 73.7226277372263
