topics significance commonGenes percentOfTopics percentOfReference
2 300 608 76 81.1748998664886
39 300 508 77.3211567732116 67.8237650200267
64 300 663 65.5138339920949 88.5180240320427
94 300 410 91.3140311804009 54.739652870494
115 300 567 72.5063938618926 75.7009345794392
136 300 465 81.2937062937063 62.0827770360481
146 271.945616252459 598 46.2848297213622 79.8397863818425
26 227.929885524763 317 83.4210526315789 42.3230974632844
125 227.207187103812 281 92.4342105263158 37.5166889185581
29 202.524921357711 264 89.4915254237288 35.2469959946595
