topics significance commonGenes percentOfTopics percentOfReference
79 50.7629107729134 65 27.4261603375527 47.4452554744526
30 49.5119673280641 48 48 35.036496350365
63 49.0397954228769 82 16.9072164948454 59.8540145985402
140 48.3638567745652 59 30.5699481865285 43.0656934306569
66 40.1347385946766 62 20.9459459459459 45.2554744525547
7 37.7119487787075 61 19.7411003236246 44.5255474452555
49 37.683606345119 52 26 37.956204379562
65 32.2374919450196 43 28.6666666666667 31.3868613138686
121 28.3391275134501 26 59.0909090909091 18.978102189781
57 27.5996306275428 35 32.4074074074074 25.5474452554745
