topics significance commonGenes percentOfTopics percentOfReference
9 267.151161838728 174 88.7755102040816 86.5671641791045
11 153.085745907689 111 88.0952380952381 55.2238805970149
63 152.79703396094 170 35.0515463917526 84.5771144278607
8 144.759318164581 105 88.9830508474576 52.2388059701493
46 112.051600888806 110 54.726368159204 54.726368159204
134 106.967412692704 131 35.5978260869565 65.1741293532338
99 102.826179896454 121 39.2857142857143 60.1990049751244
55 100.622908329931 110 45.8333333333333 54.726368159204
156 99.6119035250381 117 39.9317406143345 58.2089552238806
153 99.1082564274228 108 46.3519313304721 53.7313432835821
