topics significance commonGenes percentOfTopics percentOfReference
76 314.678805419136 661 47.3835125448029 85.0707850707851
112 265.667042083815 570 50.9383378016086 73.3590733590734
42 231.92372886138 696 34.575260804769 89.5752895752896
135 223.416649233905 432 61.2765957446808 55.5984555984556
12 193.300196166638 718 29.3900941465411 92.4066924066924
81 166.989394261497 414 50.7975460122699 53.2818532818533
0 140.001825638282 753 23.1906375115491 96.9111969111969
18 34.6009009327393 366 10.1356964829687 47.1042471042471
69 11.3149940424041 105 29.7450424929178 13.5135135135135
116 10.5084081146365 640 16.7014613778706 82.3680823680824
