topics significance commonGenes percentOfTopics percentOfReference
98 288.09185159712 276 58.7234042553191 89.6103896103896
75 244.882418694544 268 48.9051094890511 87.012987012987
119 220.050081972292 182 87.9227053140097 59.0909090909091
55 202.367912727758 185 77.0833333333333 60.0649350649351
124 198.097005850761 201 64.8387096774194 65.2597402597403
46 162.282921480662 154 76.6169154228856 50
159 156.004390303256 137 86.1635220125786 44.4805194805195
156 145.605133777574 168 57.3378839590444 54.5454545454545
153 136.621640732289 149 63.9484978540773 48.3766233766234
117 134.455321035118 137 71.3541666666667 44.4805194805195
