topics significance commonGenes percentOfTopics percentOfReference
78 152.835181333253 83 86.4583333333333 88.2978723404255
168 123.332223627987 73 78.494623655914 77.6595744680851
73 113.461445673606 62 95.3846153846154 65.9574468085106
3 81.1524114264029 46 95.8333333333333 48.936170212766
114 76.4783170289668 54 61.3636363636364 57.4468085106383
147 67.1860582716124 43 79.6296296296296 45.7446808510638
133 56.7562466599888 36 83.7209302325581 38.2978723404255
174 38.6633423087907 30 58.8235294117647 31.9148936170213
14 30.1686181906088 39 20.6349206349206 41.4893617021277
53 1.02458314794396 11 5.67010309278351 11.7021276595745
