topics significance commonGenes percentOfTopics percentOfReference
114 88.9965540999532 50 56.8181818181818 92.5925925925926
73 71.3761062157997 41 63.0769230769231 75.9259259259259
47 67.186058271615 43 45.7446808510638 79.6296296296296
168 64.8848646247628 42 45.1612903225806 77.7777777777778
78 56.8135434387898 39 40.625 72.2222222222222
133 43.6562828351831 27 62.7906976744186 50
3 26.2499270704532 20 41.6666666666667 37.037037037037
174 19.8176077506163 17 33.3333333333333 31.4814814814815
14 5.30822374429211 13 6.87830687830688 24.0740740740741
84 0.549905503333423 8 3.58744394618834 14.8148148148148
