topics significance commonGenes percentOfTopics percentOfReference
61 10.9755941136835 17 23.6111111111111 14.9122807017544
40 5.79722661935026 13 16.25 11.4035087719298
14 5.69095295190183 19 10.0529100529101 16.6666666666667
30 5.51729009887515 14 14 12.280701754386
49 5.28466818378783 19 9.5 16.6666666666667
79 4.10453210574362 19 8.0168776371308 16.6666666666667
66 3.24120962213213 20 6.75675675675676 17.5438596491228
71 2.69139170721668 12 9.6 10.5263157894737
140 2.67273372186911 15 7.7720207253886 13.1578947368421
19 2.64588072404144 4 50 3.50877192982456
