topics significance commonGenes percentOfTopics percentOfReference
65 30.0604119848974 28 18.6666666666667 60.8695652173913
7 25.3907231807329 31 10.0323624595469 67.3913043478261
71 25.1740811698146 24 19.2 52.1739130434783
140 18.8905077496046 23 11.9170984455959 50
79 16.8074234950601 23 9.70464135021097 50
40 15.7887966372001 16 20 34.7826086956522
48 14.9188815986225 13 30.2325581395349 28.2608695652174
66 13.3532423122408 22 7.43243243243243 47.8260869565217
121 12.9698720522742 12 27.2727272727273 26.0869565217391
100 12.4174565811819 16 12.5984251968504 34.7826086956522
