topics significance commonGenes percentOfTopics percentOfReference
78 125.004265989877 74 77.0833333333333 79.5698924731183
47 123.332223627986 73 77.6595744680851 78.494623655914
114 112.724151573588 68 77.2727272727273 73.1182795698925
73 107.236807131818 60 92.3076923076923 64.5161290322581
3 75.1391808574552 44 91.6666666666667 47.3118279569892
174 72.3765149989079 44 86.2745098039216 47.3118279569892
147 64.8848646247628 42 77.7777777777778 45.1612903225806
133 51.8176801395672 34 79.0697674418605 36.5591397849462
14 19.974773165789 31 16.4021164021164 33.3333333333333
84 1.1188511598632 12 5.38116591928251 12.9032258064516
