topics significance commonGenes percentOfTopics percentOfReference
76 307.493154504274 1219 87.3835125448029 49.8976668031109
0 300 2206 67.9396365876193 90.2988129349161
42 300 1654 82.1659215101838 67.7036430618092
112 261.010458718783 1004 89.7229669347632 41.0970118706508
135 207.47811401548 676 95.886524822695 27.6708964388047
95 193.300196166637 718 92.4066924066924 29.3900941465411
75 131.74120421167 508 92.7007299270073 20.7941056078592
4 110.752535972894 1162 68.1924882629108 47.5644699140401
146 97.084500582615 920 71.2074303405573 37.6586164551781
81 86.749799160437 632 77.5460122699386 25.8698321735571
