topics significance commonGenes percentOfTopics percentOfReference
9 107.585649604276 130 66.3265306122449 35.3260869565217
35 106.967412692708 131 65.1741293532338 35.5978260869565
63 92.7984994849432 177 36.4948453608247 48.0978260869565
11 69.9277411738029 86 68.2539682539683 23.3695652173913
8 56.7426138150584 75 63.5593220338983 20.3804347826087
24 46.9035338159824 159 22.425952045134 43.2065217391304
66 24.4948579521367 78 26.3513513513513 21.195652173913
14 19.4106762286299 56 29.6296296296296 15.2173913043478
92 16.2150165839161 37 38.1443298969072 10.054347826087
32 15.9595219634194 43 32.3308270676692 11.6847826086957
