topics significance commonGenes percentOfTopics percentOfReference
140 30.8503755392904 51 26.4248704663212 28.8135593220339
7 8.66225239522923 36 11.6504854368932 20.3389830508475
18 7.57363168112997 79 2.18775962337303 44.6327683615819
1 7.27831525800435 61 7.29665071770335 34.4632768361582
102 7.1614221957886 44 8.92494929006085 24.8587570621469
48 4.80795602355351 11 25.5813953488372 6.21468926553672
65 4.18426859361662 19 12.6666666666667 10.7344632768362
52 2.91002397626461 10 18.8679245283019 5.64971751412429
66 2.69595831660142 25 8.44594594594595 14.1242937853107
45 2.6714130123144 13 13.6842105263158 7.34463276836158
