topic summitPvalue summitPosition meanPvalue meanPosition
134 35.5871602027228 0 4.82199649451099 0
9 17.4273846106185 70 3.65634238878016 46
0 8.40178880480352 190 2.05342418895111 134
95 5.14510101737551 200 0.936499700020439 127
12 4.46351275593845 150 1.14971409866375 130
11 3.93147719160941 130 0.803382981169728 77
35 3.73948054626872 60 0.965783840866397 40
112 2.76474537328628 150 0.677210499684341 117
116 2.69117075911212 140 0.716528678286138 111
42 2.47768890579821 200 0.371655704991223 140
