topic summitPvalue summitPosition meanPvalue meanPosition
0 8.92134776541942 60 2.41661020637607 23
81 7.75903908083436 0 1.31452110697027 3
95 2.02557784692579 -60 1.02934383869229 -11
12 1.85846552124839 80 0.651701784792077 -3
76 1.08736418799452 70 0.404637969717631 -4
112 1.04921846120186 40 0.488592825012347 2
42 0.909289531987013 30 0.309024622868566 4
18 0.767313781358422 0 0.250506360794617 -17
116 0.636140583932936 70 0.346521989712323 -9
108 0.448025475435168 150 0.129702116153362 74
