topic summitPvalue summitPosition meanPvalue meanPosition
157 45.6409270349962 -190 10.1071361024041 -135
172 35.9821034813322 0 12.8417313176496 34
107 12.7252752399613 -60 7.05919515966222 -3
106 11.0750264815806 -110 4.63612975541628 -50
84 2.13869841346234 0 1.1621208225179 14
81 1.50850852486034 -90 0.795435093329677 -30
72 1.15355676368021 0 0.534575085607902 80
33 1.13790231681911 80 0.166522290266211 105
42 0.909289531987013 140 0.242310144340336 101
16 0.775928216980721 0 0.302801255407111 60
