topic summitPvalue summitPosition meanPvalue meanPosition
10 15.5030723221755 0 3.80675645480738 -7
4 1.41216764334136 0 0.619681589210141 47
146 0.939946266556075 0 0.548880262272581 71
39 0.516765800395711 80 0.138644483032996 135
64 0.476241246557267 120 0.162124542845789 117
108 0.448025475435168 190 0.0859923136718826 120
2 0.387750377518252 90 0.113487915371196 145
115 0.35312711452959 10 0.172257129038824 105
136 0.349049970081702 140 0.0595938973310223 170
26 0.286619313329158 170 0.027962859836991 185
