topic summitPvalue summitPosition meanPvalue meanPosition
7 233.927562976558 10 41.1023733226118 4
74 131.507704502862 130 28.0521513991348 54
88 99.9728730267274 0 13.4795115546942 1
107 57.2116393448944 80 7.97124582801323 84
60 33.635034190718 -40 3.89506069006278 -21
26 21.4504967649358 -100 7.52363427541086 -52
146 17.4808068706408 -110 3.53041248122911 -85
170 15.6047903259032 30 2.22517319489184 41
97 15.1517456303112 -180 1.34628804363662 -164
108 13.3989851765013 -90 5.12473226391886 -24
