topic summitPvalue summitPosition meanPvalue meanPosition
171 60.7299079133727 0 6.68638123289828 -4
0 19.978266177301 -200 0.878259607400801 -180
115 9.1112696550749 0 1.60850298699164 -52
99 4.48025146106648 -80 0.745717061881313 -54
124 3.23894925297826 -10 0.39552528964147 -23
117 2.877707343387 -10 0.318741978684791 -13
146 2.87229265945504 140 0.324190478497289 147
125 2.48544252386811 -110 0.271893571575639 -113
18 2.15108551481664 -120 0.19024756192163 -121
64 2.12456641369108 50 0.298919004027497 102
