topic summitPvalue summitPosition meanPvalue meanPosition
4 7.99895257718698 0 1.5986214753316 6
146 3.65800479735108 10 1.02919161398009 21
64 0.926271568544243 0 0.431847777299685 44
125 0.599277371138956 10 0.131548691225625 50
29 0.577568861787671 10 0.154957499504009 60
94 0.568629499600113 90 0.166428146224423 145
99 0.528882237086479 200 0.0128995667582068 200
39 0.516765800395711 0 0.25208087824181 55
108 0.448025475435168 0 0.300740254617927 51
75 0.391140983914939 190 0.0552963200495767 120
