topic summitPvalue summitPosition meanPvalue meanPosition
9 186.399001761261 -30 47.8922094679807 -27
11 109.502340559468 0 18.0253909080292 0
0 68.1790717454678 160 11.989648672822 148
8 39.3849549499996 -130 9.95703057777837 -111
95 32.7353947214776 130 10.2634139424394 102
12 29.8852801434105 140 6.442108416873 139
35 29.8253556986436 -30 7.85178693790043 -28
112 17.9638471274558 160 3.75177685187261 136
76 11.6466981557646 150 2.63776775173561 130
116 10.2645448218676 150 2.49288287304782 124
