topic summitPvalue summitPosition meanPvalue meanPosition
80 145.796840882337 0 27.9157604533784 4
97 123.068336633296 -120 29.5925960287315 -77
60 75.4462116595528 -70 22.3139210535334 -37
25 51.5366927266002 160 6.59361974037291 165
87 49.0922852653642 -70 15.1840596881561 -52
74 20.0001310320494 -130 5.62904770262771 -125
67 12.5639254542705 120 4.15641624130647 89
47 5.42936190929969 60 0.371663246315443 65
6 3.7771553148616 20 0.93484409682747 27
157 3.62134954701364 100 0.534160576153451 94
