topic summitPvalue summitPosition meanPvalue meanPosition
116 8.66174021390197 0 0.864978681835284 3
0 6.44253177977604 20 0.80493638371682 17
12 2.79723295603565 0 0.298939569322024 15
112 1.04921846120186 20 0.173560698900486 35
42 0.909289531987013 40 0.180684318684553 28
18 0.767313781358422 -60 0.31243252685532 -16
76 0.653328398758802 10 0.117179738511496 43
135 0.345627161126674 10 0.0337197230367487 25
146 0.160688567878274 190 0.00783846672576946 195
64 0.157395669177462 170 0.0153556750417036 185
