topic summitPvalue summitPosition meanPvalue meanPosition
106 17.8791138240138 0 6.56997290809306 2
157 1.66174855229799 -40 0.770078597406384 84
13 1.32292017655524 200 0.0322663457696401 200
84 0.927741199044159 0 0.294161843599367 56
122 0.688824439301397 90 0.0672023843220875 105
6 0.632629477955984 60 0.0462899618016574 70
152 0.616439074434771 0 0.240561590023325 75
153 0.345345958865614 0 0.185307587683988 53
18 0.280411396696126 -190 0.00683930235844209 -190
9 0.196955656179427 30 0.00960759298436228 35
